delta,rho,class_id,class_label,variance_gap,arcsine_chsh_margin,linear_completion_residual
0.0,0.0,0,compatible,0.0,3.141592653589793,3.3306690738754696e-16
0.0,0.01,0,compatible,0.0,3.1015919868931245,2.220446049250313e-16
0.0,0.02,0,compatible,0.0,3.061587319296231,2.220446049250313e-16
0.0,0.03,0,compatible,0.0,3.0215746462958855,2.220446049250313e-16
0.0,0.04,0,compatible,0.0,2.9815499561738372,3.3306690738754696e-16
0.0,0.05,0,compatible,0.0,2.941509226366713,3.3306690738754696e-16
0.0,0.06,0,compatible,0.0,2.9014484198086796,3.3306690738754696e-16
0.0,0.07,0,compatible,0.0,2.861363481237592,3.3306690738754696e-16
0.0,0.08,0,compatible,0.0,2.821250333455157,2.220446049250313e-16
0.0,0.09,0,compatible,0.0,2.781104873531412,2.220446049250313e-16
0.0,0.1,0,compatible,0.0,2.740922968943554,2.220446049250313e-16
0.0,0.11,0,compatible,0.0,2.7007004536388064,3.3306690738754696e-16
0.0,0.12,0,compatible,0.0,2.6604331240106407,3.3306690738754696e-16
0.0,0.13,0,compatible,0.0,2.620116734777211,3.3306690738754696e-16
0.0,0.14,0,compatible,0.0,2.5797469947503697,3.3306690738754696e-16
0.0,0.15,0,compatible,0.0,2.539319562483049,3.3306690738754696e-16
0.0,0.16,0,compatible,0.0,2.498830041782151,2.220446049250313e-16
0.0,0.17,0,compatible,0.0,2.4582739770733752,3.3306690738754696e-16
0.0,0.18,0,compatible,0.0,2.4176468486036025,2.220446049250313e-16
0.0,0.19,0,compatible,0.0,2.376944067465555,3.3306690738754696e-16
0.0,0.2,0,compatible,0.0,2.33616097042847,3.3306690738754696e-16
0.0,0.21,0,compatible,0.0,2.2952928145574107,2.220446049250313e-16
0.0,0.22,0,compatible,0.0,2.2543347716026156,2.220446049250313e-16
0.0,0.23,0,compatible,0.0,2.2132819221389406,2.220446049250313e-16
0.0,0.24,0,compatible,0.0,2.17212924943394,2.220446049250313e-16
0.0,0.25,0,compatible,0.0,2.1308716330214788,2.220446049250313e-16
0.0,0.26,0,compatible,0.0,2.0895038419559175,3.3306690738754696e-16
0.0,0.27,0,compatible,0.0,2.0480205277199,3.3306690738754696e-16
0.0,0.28,0,compatible,0.0,2.006416216756482,3.3306690738754696e-16
0.0,0.29,0,compatible,0.0,1.9646853025938633,2.220446049250313e-16
0.0,0.3,0,compatible,0.0,1.922822037528203,2.220446049250313e-16
0.0,0.31,0,compatible,0.0,1.8808205238268954,3.3306690738754696e-16
0.0,0.32,0,compatible,0.0,1.8386747044112723,3.3306690738754696e-16
0.0,0.33,0,compatible,0.0,1.7963783529738717,3.3306690738754696e-16
0.0,0.34,0,compatible,0.0,1.753925063481146,3.3306690738754696e-16
0.0,0.35000000000000003,0,compatible,0.0,1.7113082390077519,3.3306690738754696e-16
0.0,0.36,0,compatible,0.0,1.6685210798432333,3.3306690738754696e-16
0.0,0.37,0,compatible,0.0,1.6255565708059898,3.3306690738754696e-16
0.0,0.38,0,compatible,0.0,1.5824074676927509,2.220446049250313e-16
0.0,0.39,0,compatible,0.0,1.5390662827843054,2.220446049250313e-16
0.0,0.4,0,compatible,0.0,1.4955252693198409,3.3306690738754696e-16
0.0,0.41000000000000003,0,compatible,0.0,1.45177640484277,3.3306690738754696e-16
0.0,0.42,0,compatible,0.0,1.4078113733102493,3.3306690738754696e-16
0.0,0.43,0,compatible,0.0,1.363621545846517,3.3306690738754696e-16
0.0,0.44,0,compatible,0.0,1.3191979600064996,3.3306690738754696e-16
0.0,0.45,0,compatible,0.0,1.2745312974006076,2.220446049250313e-16
0.0,0.46,0,compatible,0.0,1.2296118595139836,2.220446049250313e-16
0.0,0.47000000000000003,0,compatible,0.0,1.1844295415333301,3.3306690738754696e-16
0.0,0.48,0,compatible,0.0,1.1389738039714405,3.3306690738754696e-16
0.0,0.49,0,compatible,0.0,1.0932336418532023,3.3306690738754696e-16
0.0,0.5,0,compatible,0.0,1.0471975511965974,3.3306690738754696e-16
0.0,0.51,0,compatible,0.0,1.0008534924873937,3.3306690738754696e-16
0.0,0.52,0,compatible,0.0,0.9541888508060166,2.220446049250313e-16
0.0,0.53,0,compatible,0.0,0.90719039221859,2.220446049250313e-16
0.0,0.54,0,compatible,0.0,0.8598442159901052,3.3306690738754696e-16
0.0,0.55,0,compatible,0.0,0.8121357021148192,3.3306690738754696e-16
0.0,0.56,0,compatible,0.0,0.7640494535855442,3.3306690738754696e-16
0.0,0.5700000000000001,0,compatible,0.0,0.7155692327374448,3.3306690738754696e-16
0.0,0.58,0,compatible,0.0,0.6666778909007891,3.3306690738754696e-16
0.0,0.59,0,compatible,0.0,0.6173572904777078,2.220446049250313e-16
0.0,0.6,0,compatible,0.0,0.5675882184166556,2.220446049250313e-16
0.0,0.61,0,compatible,0.0,0.5173502898901026,3.3306690738754696e-16
0.0,0.62,0,compatible,0.0,0.4666218407803062,3.3306690738754696e-16
0.0,0.63,0,compatible,0.0,0.4153798073373256,3.3306690738754696e-16
0.0,0.64,0,compatible,0.0,0.363599591083569,3.3306690738754696e-16
0.0,0.65,0,compatible,0.0,0.3112549066883705,3.3306690738754696e-16
0.0,0.66,0,compatible,0.0,0.25831761010943444,3.3306690738754696e-16
0.0,0.67,0,compatible,0.0,0.20475750377635737,3.3306690738754696e-16
0.0,0.68,0,compatible,0.0,0.1505421149501105,3.3306690738754696e-16
0.0,0.6900000000000001,0,compatible,0.0,0.09563644259925974,2.220446049250313e-16
0.0,0.7000000000000001,0,compatible,0.0,0.04000266714678036,3.3306690738754696e-16
0.0,0.71,2,correlator-only obstruction,0.0,-0.016400183794894385,3.3306690738754696e-16
0.0,0.72,2,correlator-only obstruction,0.0,-0.07361662214232689,3.3306690738754696e-16
0.0,0.73,2,correlator-only obstruction,0.0,-0.13169514893644596,3.3306690738754696e-16
0.0,0.74,2,correlator-only obstruction,0.0,-0.190688779776798,3.3306690738754696e-16
0.0,0.75,2,correlator-only obstruction,0.0,-0.2506556623361309,3.3306690738754696e-16
0.0,0.76,2,correlator-only obstruction,0.0,-0.3116598064724214,3.3306690738754696e-16
0.0,0.77,2,correlator-only obstruction,0.0,-0.3737719530845256,3.3306690738754696e-16
0.0,0.78,2,correlator-only obstruction,0.0,-0.43707061534714775,3.3306690738754696e-16
0.0,0.79,2,correlator-only obstruction,0.0,-0.5016433360398,3.3306690738754696e-16
0.0,0.8,2,correlator-only obstruction,0.0,-0.5675882184166561,3.3306690738754696e-16
0.0,0.81,2,correlator-only obstruction,0.0,-0.6350158070268312,3.3306690738754696e-16
0.0,0.8200000000000001,2,correlator-only obstruction,0.0,-0.7040514214666138,3.3306690738754696e-16
0.0,0.8300000000000001,2,correlator-only obstruction,0.0,-0.7748380838836182,3.3306690738754696e-16
0.0,0.84,2,correlator-only obstruction,0.0,-0.847540235897406,3.3306690738754696e-16
0.0,0.85,2,correlator-only obstruction,0.0,-0.9223485216695071,3.3306690738754696e-16
0.0,0.86,2,correlator-only obstruction,0.0,-0.9994860363322422,3.3306690738754696e-16
0.0,0.87,2,correlator-only obstruction,0.0,-1.0792166286054314,3.3306690738754696e-16
0.0,0.88,2,correlator-only obstruction,0.0,-1.161856148226211,3.3306690738754696e-16
0.0,0.89,2,correlator-only obstruction,0.0,-1.2477880245015287,3.3306690738754696e-16
0.0,0.9,2,correlator-only obstruction,0.0,-1.3374854064047437,3.3306690738754696e-16
0.0,0.91,2,correlator-only obstruction,0.0,-1.4315435938103152,3.3306690738754696e-16
0.0,0.92,2,correlator-only obstruction,0.0,-1.5307292872671479,4.440892098500626e-16
0.0,0.93,2,correlator-only obstruction,0.0,-1.6360587243188807,3.3306690738754696e-16
0.0,0.9400000000000001,2,correlator-only obstruction,0.0,-1.7489285684979503,3.3306690738754696e-16
0.0,0.95,2,correlator-only obstruction,0.0,-1.871350936423707,3.3306690738754696e-16
0.005,0.0,1,variance-only obstruction,0.004999999999999893,3.141592653589793,0.0025000000000001688
0.005,0.01,1,variance-only obstruction,0.004999999999999893,3.1015919868931245,0.0025000000000001688
0.005,0.02,1,variance-only obstruction,0.004999999999999893,3.061587319296231,0.0025000000000001688
0.005,0.03,1,variance-only obstruction,0.004999999999999893,3.0215746462958855,0.0025000000000001688
0.005,0.04,1,variance-only obstruction,0.004999999999999893,2.9815499561738372,0.0025000000000001688
0.005,0.05,1,variance-only obstruction,0.004999999999999893,2.941509226366713,0.0025000000000001688
0.005,0.06,1,variance-only obstruction,0.004999999999999893,2.9014484198086796,0.0025000000000001688
0.005,0.07,1,variance-only obstruction,0.004999999999999893,2.861363481237592,0.0025000000000001688
0.005,0.08,1,variance-only obstruction,0.004999999999999893,2.821250333455157,0.0025000000000001688
0.005,0.09,1,variance-only obstruction,0.004999999999999893,2.781104873531412,0.0025000000000001688
0.005,0.1,1,variance-only obstruction,0.004999999999999893,2.740922968943554,0.0025000000000001688
0.005,0.11,1,variance-only obstruction,0.004999999999999893,2.7007004536388064,0.0025000000000001688
0.005,0.12,1,variance-only obstruction,0.004999999999999893,2.6604331240106407,0.0025000000000001688
0.005,0.13,1,variance-only obstruction,0.004999999999999893,2.620116734777211,0.0025000000000001688
0.005,0.14,1,variance-only obstruction,0.004999999999999893,2.5797469947503697,0.0025000000000001688
0.005,0.15,1,variance-only obstruction,0.004999999999999893,2.539319562483049,0.0025000000000001688
0.005,0.16,1,variance-only obstruction,0.004999999999999893,2.498830041782151,0.0025000000000001688
