r,tau,two_mutual_information,residual_abs
0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16
0.05,0.020951999589251223,0.02095199958925109,1.3183898417423734e-16
0.1,0.08333334146176263,0.08333334146176208,5.551115123125783e-16
0.15000000000000002,0.18576436178506944,0.18576436178506972,2.7755575615628914e-16
0.2,0.3260844573398262,0.32608445733982716,9.43689570931383e-16
0.25,0.5015323458742724,0.5015323458742715,8.881784197001252e-16
0.30000000000000004,0.708951715321353,0.7089517153213523,7.771561172376096e-16
0.35000000000000003,0.9449927164540576,0.9449927164540579,3.3306690738754696e-16
0.4,1.2062872356828471,1.2062872356828476,4.440892098500626e-16
0.45,1.4895858303867493,1.48958583038675,6.661338147750939e-16
0.5,1.7918533154168768,1.7918533154168772,4.440892098500626e-16
0.55,2.110326438891876,2.110326438891874,1.7763568394002505e-15
0.6000000000000001,2.4425405376250136,2.4425405376250167,3.1086244689504383e-15
0.65,2.7863330891939095,2.7863330891939104,8.881784197001252e-16
0.7000000000000001,3.139831556057391,3.139831556057392,1.3322676295501878e-15
0.75,3.5014316393502356,3.501431639350237,1.3322676295501878e-15
0.8,3.869770579283369,3.8697705792833665,2.6645352591003757e-15
0.8500000000000001,4.243698768641921,4.24369876864192,8.881784197001252e-16
0.9,4.622251820987375,4.622251820987374,8.881784197001252e-16
0.9500000000000001,5.004624382861527,5.00462438286152,7.105427357601002e-15
1.0,5.390146372244005,5.390146372244001,4.440892098500626e-15
1.05,5.778261916262144,5.77826191626215,6.217248937900877e-15
1.1,6.168511000531502,6.168511000531496,5.329070518200751e-15
1.1500000000000001,6.560513687874065,6.5605136878740655,8.881784197001252e-16
1.2000000000000002,6.953956681860291,6.953956681860294,3.552713678800501e-15
1.25,7.348581975641468,7.34858197564148,1.1546319456101628e-14
1.3,7.7441773210972915,7.744177321097336,4.440892098500626e-14
1.35,8.140568265221987,8.140568265221948,3.907985046680551e-14
1.4000000000000001,8.537611521809236,8.53761152180923,5.329070518200751e-15
1.4500000000000002,8.935189471681367,8.935189471681419,5.1514348342607263e-14
1.5,9.333205610729648,9.333205610729628,1.9539925233402755e-14
1.55,9.731580790033226,9.73158079003311,1.1546319456101628e-13
1.6,10.13025011531197,10.130250115312087,1.1723955140041653e-13
